Date,GIV00907136,GIV00907156,GIV00907176,GIV00907196,GIV00907216,GIV00907236,GIV00907276,GIV00907296,GIV00907316,GIV00907336,GIV00907356,GIV00907376,GIV00907396,GIV00907416,GIV00907436,GIV00907456,GIV00907476,GIV00907496,GIV00907516,GIV00907536,GIV00907556,GIV00907576,GIV00907596
01/05/2017,16.45776122,17.13271294,17.83932873,19.13000927,20.19228084,22.25825955,30.80975345,40.32594353,49.20233444,55.97532188,60.27869655,63.12893596,65.11891105,66.43272927,66.62076202,65.78830195,65.39595421,64.44070011,60.25966239,57.67040328,54.09209029,51.38990168,49.66294013
01/04/2017,16.45776122,17.13271294,17.82463371,19.11826065,20.16961336,22.23603492,30.72879851,40.32594353,49.18164443,55.96226211,60.27001765,63.12314436,65.11891105,66.43272927,66.62182815,65.78932835,65.39928104,64.44070011,60.25966239,57.67040328,54.09430809,51.39038677,49.66281053
01/03/2017,16.38533925,17.06049534,17.80529844,19.10502271,20.14694194,22.2138047,30.70180476,40.2487062,49.18164443,55.94920089,60.26133747,63.11735229,65.10525189,66.43272927,66.62182815,65.79035449,65.40038957,64.44070011,60.25966239,57.67644429,54.09504734,51.39087186,49.66268094
01/02/2017,15.13308826,14.96135127,15.61259888,17.80529844,19.10502271,20.14694194,28.20133835,37.87561673,47.29240067,54.75453303,59.45717418,62.58241786,64.68429647,66.32449485,66.71753046,65.88369772,65.50147706,64.65257963,60.38595919,57.86161073,54.16303875,51.43548606,49.65088758
30/12/2016,16.28875113,16.98825155,17.70939053,19.06376283,20.13608408,22.19156889,30.62079738,40.14570779,49.07817077,55.89694144,60.22660381,63.11155972,65.08703305,66.42593635,66.62715412,65.79138039,65.40371392,64.45425757,60.26773957,57.68449867,54.09726508,51.39135694,49.66216255
29/12/2016,16.28875113,16.98825155,17.68540371,19.04998721,20.10345103,22.10257017,30.62079738,40.14570779,49.05747134,55.88387294,60.21791716,63.08838466,65.08703305,66.42480267,66.62821838,65.79548155,65.40371392,64.45651671,60.26908556,57.68449867,54.09726508,51.39329725,49.66203295
28/12/2016,16.28875113,16.98825155,17.66141301,19.03620045,20.09255353,22.0803067,30.53975104,40.14570779,49.03677033,55.87080298,60.20922922,63.0825897,65.08703305,66.42480267,66.62928233,65.79650622,65.4070364,64.45651671,60.26908556,57.68449867,54.09948278,51.39378232,49.66190335
27/12/2016,15.13308826,14.97536347,15.59071156,17.80529844,19.11826065,20.14694194,28.20133835,37.87561673,47.27157039,54.74133786,59.45717418,62.58241786,64.68429647,66.32683836,66.71856753,65.88369772,65.50147706,64.64808328,60.38327757,57.86161073,54.16303875,51.43548606,49.65075798
26/12/2016,15.13308826,14.99742001,15.61259888,17.80529844,19.11826065,20.16961336,28.22868029,37.90145441,47.29240067,54.75453303,59.46597517,62.58825433,64.68889375,66.32800945,66.71753046,65.88269457,65.50038797,64.64583491,60.38193667,57.859599,54.16229993,51.43500127,49.65088758
23/12/2016,16.11965882,16.86778983,17.54140279,18.96709966,20.05980152,22.05803775,30.43162923,39.9654189,48.93324185,55.80543132,60.16577011,63.07679424,65.05513186,66.4179915,66.6345974,65.79753065,65.41146348,64.47006894,60.27716028,57.69859304,54.10243964,51.39426739,49.66125536
